상호,영업표지,대표자,등록번호,최초등록일,업종
클라안(CLAAN),클라안(CLAAN),이창희,20231006,2023.07.11,이미용
팀스마트(TEAMSMART),팀 스마트,조재원,20231000,2023.07.11,스포츠 관련
카페점보,카페점보캔,박영미,20230997,2023.07.11,커피
구구포차,구구포차,윤철진,20230996,2023.07.11,한식
(주)코리아폴리스쿨,캔비(CanB)어학원,"임홍일, 김성원",20212499,2021.10.07,교육 (외국어)
광교PT20LINE에듀하임점,20LINE,정대식,20231002,2023.07.11,스포츠 관련
마성소국밥앤족발둔산시청본점,마성소국밥,성오현,20230999,2023.07.11,한식
광주숲속의아침,숲속의 아침,유정수,20230994,2023.07.11,기타 서비스
천하파트너스,마라천하마라탕,이승권(LI SHENGQUAN),20231005,2023.07.11,중식
㈜에스티유니타스,커넥츠 프랩 스터디카페,김정택,20211942,2021.08.24,기타 서비스
㈜에스티유니타스,커넥츠 프랩 독서실,김정택,20211943,2021.08.24,기타 서비스
㈜에스티유니타스,커넥츠 프랩 수능관,김정택,20211941,2021.08.24,교육 (교과)
(주)에스티유니타스,커넥츠 프랩 공시관,김정택,20210310,2021.02.05,기타 교육
더밀,더밀데이,한경은,20220431,2022.05.19,서양식
(주)티지와이,가마치삼계탕,김재곤,20160797,2016.08.11,기타 외식
(주)티지와이,본연제 유황먹인 닭한마리&칼국수,김재곤,20215291,2021.11.16,한식
라비떼,유마드,유은정,20215819,2021.11.18,서양식
(주)벌크커피,벌크커피(BULK COFFEE),이윤식,20180479,2018.05.17,커피
(주)다름플러스,미스터이차돌BBQ,이억불,20210135,2021.01.19,치킨
